614,Texas A&M University-Commerce,Commerce
615,Gordon College,Wenham ...
616,The College at Brockport,Brockport
617,Saint Anselm College,Manchester
618,Saint Leo University,Saint Leo ...
619,Regis University,Denver
620,Santa Fe College,Gainesville
621,Kettering University,Flint
622,Hampton University,Hampton
623,SUNY Polytechnic Institute,Utica
624,Luther College,Decorah
625,Hendrix College,Conway
626,Christopher Newport University,Newport News
627,Jackson State University,Jackson
628,Ohio Wesleyan University,Delaware ...
629,State University of New York at Fredonia,Fredonia
630,Bellarmine University,Louisville
631,Bethel University,Saint Paul ...
632,"Purchase College, State University of New York",Purchase
633,St. Mary's University,San Antonio
634,"Wheaton College, Massachusetts",Norton
635,South University,Savannah
636,George Fox University,Newberg
637,Harding University,Searcy ...
638,Ashland University,Ashland
639,Southern Connecticut State University,New Haven
640,University of Detroit Mercy,Detroit
641,University of Redlands,Redlands
642,California State University Channel Islands,Camarillo
643,Albion College,Albion
644,Dominican University of California,San Rafael
645,Campbell University,Buies Creek
646,Southwestern University,Georgetown
647,Wilkes University,Wilkes-Barre
648,Western Connecticut State University,Danbury
649,University of Wisconsin-Platteville,Platteville
650,University of Southern Maine,Portland ...
651,Canisius College,Buffalo
652,Hood College,Frederick
653,Le Moyne College,Syracuse
654,University of North Carolina at Asheville,Asheville
655,Hawaii Pacific University,Honolulu
656,Washington College,Chestertown
657,University of New Haven,West Haven ...
658,Clark Atlanta University,Atlanta
659,John Carroll University,University Heights
660,Columbia College,Columbia
661,Northwest Missouri State University,Maryville ...
662,University of Central Oklahoma,Edmond
663,New Jersey City University,Jersey City
664,University of North Carolina at Pembroke,Pembroke
665,"California State University, Bakersfield",Bakersfield
666,The University of the Arts,Philadelphia
667,Texas Southern University,Houston
668,South Dakota School of Mines and Technology,Rapid City
669,Kutztown University of Pennsylvania,Kutztown
670,Augustana College,Rock Island
671,New York Law School,New York City
672,Salem State University,Salem
673,The College of St. Scholastica,Duluth ...
674,Fayetteville State University,Fayetteville
675,The University of Tennessee Health Science Center,Memphis
676,Northeastern State University,Tahlequah
677,State University of New York College at Plattsburgh,Plattsburgh ...
678,Uniformed Services University of the Health Sciences,Bethesda
679,University of Houston-Downtown,Houston
680,Jacksonville State University,Jacksonville
681,Ramapo College of New Jersey,Mahwah
682,Colorado Technical University,Colorado Springs ...
683,Ohio Northern University,Ada
684,University of Bridgeport,Bridgeport ...
685,University of Central Missouri,Warrensburg
686,University of Mary Hardin-Baylor,Belton
687,Knox College,Galesburg ...
688,Carthage College,Kenosha
689,Brigham Young University-Hawaii,Laie
690,Mercy College,Dobbs Ferry
691,Bennington College,Bennington
692,Winona State University,Winona
693,Lipscomb University,Nashville
694,Roanoke College,Salem
695,Goshen College,Goshen
696,Lawrence Technological University,Southfield
697,University of Indianapolis,Indianapolis
698,Jacksonville University,Jacksonville
699,University of the Incarnate Word,San Antonio
700,Shenandoah University,Winchester
701,Bastyr University,Kenmore
702,Franklin University,Columbus ...
703,Pennsylvania Academy of the Fine Arts,Philadelphia
704,University of North Georgia,Dahlonega
705,Lander University,Greenwood
706,Colorado Christian University,Lakewood
707,Manhattan College,Riverdale
708,Slippery Rock University of Pennsylvania,Slippery Rock
709,University of Findlay,Findlay
710,Providence College,Providence
711,Vermont Law School,South Royalton
712,Eastern Virginia Medical School,Norfolk
713,Allegheny College,Meadville
714,Benedictine University,Lisle
715,Point Loma Nazarene University,San Diego ...
716,Eckerd College,Saint Petersburg ...
717,University of Houston-Clear Lake,Houston ...
718,University of Wisconsin-River Falls,River Falls
719,Berry College,Mount Berry
720,University of North Alabama,Florence
721,United States Merchant Marine Academy,Kings Point ...
722,Fort Lewis College,Durango
723,National Louis University,Chicago ...
724,Bob Jones University,Greenville
725,Cornell College,Mount Vernon
726,Ursinus College,Collegeville
727,Saginaw Valley State University,University Center
728,Keene State College,Keene
729,Dakota State University,Madison ...
730,St. Norbert College,De Pere
731,Washburn University,Topeka
732,Chatham University,Pittsburgh
733,Bellevue College,Bellevue
734,Columbus State University,Columbus
735,Olivet Nazarene University,Bourbonnais
736,Davenport University,Grand Rapids ...
737,Assumption College,Worcester
738,Augustana University,Sioux Falls
739,Niagara University,Niagara University
740,New England College,Henniker ...
741,Drury University,Springfield ...
742,Wofford College,Spartanburg
743,Dominican University,River Forest
744,Naropa University,Boulder
745,Arkansas Tech University,Russellville
746,"Concordia University, St. Paul",Saint Paul
747,McDaniel College,Westminster ...
748,Dixie State University,St. George
749,Cambridge College,Boston ...
750,Mississippi College,Clinton ...
751,Indiana Wesleyan University,Marion
752,Otis College of Art and Design,Los Angeles
753,Concordia University Wisconsin,Mequon
754,Susquehanna University,Selinsgrove
755,Florida Southern College,Lakeland
756,Texas A&M University-Kingsville,Kingsville
757,Lewis University,Romeoville
758,Florida State College at Jacksonville,Jacksonville
759,Springfield College,Springfield
760,University of the District of Columbia,Washington
761,College of Southern Nevada,Las Vegas
762,Utica College,Utica
763,Franklin W. Olin College of Engineering,Needham
764,St. Mary's College of Maryland,St. Mary's City
765,University of Wisconsin-Parkside,Kenosha
766,Brooklyn Law School,Brooklyn
767,Midwestern University,Downers Grove ...
768,Whittier College,Whittier
769,Westmont College,Santa Barbara
770,Clarion University of Pennsylvania,Clarion
771,Palm Beach State College,Lake Worth
772,Marymount University,Arlington
773,Oklahoma City University,Oklahoma City
774,Park University,Parkville ...
775,Wentworth Institute of Technology,Boston
776,St. John Fisher College,Rochester
777,Scripps College,Claremont
778,Massachusetts College of Art and Design,Boston
779,Oregon Institute of Technology,Klamath Falls
780,Juniata College,Huntingdon
781,North Park University,Chicago
782,Angelo State University,San Angelo
783,Tarleton State University,Stephenville ...
784,Midwestern State University,Wichita Falls
785,University of Michigan-Flint,Flint ...
786,SIT Graduate Institute,Brattleboro
787,Montana Tech,Butte
788,Texas A&M International University,Laredo
789,Regis College,Weston
790,Morehouse School of Medicine,Atlanta
791,Kalamazoo College,Kalamazoo
792,Queens University of Charlotte,Charlotte
793,Western New England University,Springfield ...
794,Flagler College,St. Augustine ...
795,Wartburg College,Waverly
796,Norfolk State University,Norfolk
797,Bank Street College of Education,New York City
798,University of Dallas,Irving
799,Grove City College,Grove City
800,Southern University and A&M College,Baton Rouge
801,Marietta College,Marietta
802,Salve Regina University,Newport ...
803,Morehead State University,Morehead ...
804,Virginia State University,Petersburg
805,Fisk University,Nashville
806,Pennsylvania College of Technology,Williamsport
807,Linfield University,McMinnville ...
808,King University,Bristol
809,St John's College,Annapolis ...
810,St. Thomas University,Miami Gardens
811,Governors State University,University Park
812,Stonehill College,Easton
813,Eastern Mennonite University,Harrisonburg ...
814,Baker College,Flint ...
815,Ringling College of Art and Design,Sarasota
816,Colorado Mesa University,Grand Junction
817,Oglethorpe University,Atlanta
818,Moravian College,Bethlehem
819,Washington & Jefferson College,Washington
820,Lourdes University,Sylvania
821,King's College,Wilkes-Barre
